unique_id;name_in_manuscript;manuscript;status;death_year;gender
…j_942;…й;942.0;;;m
…k_939;…к;939.0;;;m
afanasij_jesifovic;Афанасий Есифович Свекла;;посадник;;m
anon_932;anon;932.0;протоколирующий?;;
anon_938;anon;938.0;кредитор;;m
anon_939;anon;939.0;;;
bratan_938;братан;938.0;должник;;m
igumen_933;игумен;933.0;игумен;;m
ivan_933;Иван;933.0;посадник;;m
ivan_lukinic;Иван Лукинич Щока;;посадник;;m
jakov_949;Яков;949.0;;;m
jeremej_948;Еремей;948.0;;;m
jeremej_949;Еремей;949.0;;;m
jesif_zaharjinic;Есиф Захарьинич;;посадник;1409.0;m
jurij_937;Юрий;937.0;богатый;;m
konstantin_932;Константин Остафнин;932.0;свидетель?;;m
kuzma_932;Кузма Силв{н}анов;932.0;свидетель?;;m
kuzma_children_932;дети Кузмы;932.0;свидетель?;;pl
luka;Лука;;;;m
mihail_pavshinic;Михаил Павшинич;;посадник;1316.0;m
mihalko_937;Михалко;937.0;посланник;;m
nos_937;Нос;937.0;богатый;;m
oksentij_948;Оксентий;948.0;посланник;;m
onanja;Онания;;;;m
ondrejan_zaharjinic;Ондреян Захарьинич;;посадник;;m
ostafja_948;Остафья;948.0;;;m
ostafja_932;Остафья;;;;m
parfej_948;Парфей;948.0;лично свободный;;m
pavsha_onanjic;Павша Онаньич;;посадник;1273.0;m
petr_949;Петр;949.0;;;m
samson_932;Самсон Иванов;932.0;свидетель?;;m
sava_938;Сава Пачин;938.0;должник;;m
silvan;Сильван;;;;m
smen_931;Смен;931.0;лично свободный;;m
smen_949;Смен;949.0;;;m
stepan_949;Степан;949.0;;;m
uljana_942;Ульяна;942.0;жена;;f
vasilij_jesifovic;Василий Есифович Нос;;посадник;;m
zaharja_mihajlovic;Захария Михайлович;;посадник;1335.0;m
zhena_931;жена;931.0;жена;;f
zhena_939;жена;939.0;жена;;f
samson_ivanovic;Самсон Иванович;;посадник;;m
